,Unnamed: 0,Datetime,Tweet Id,Text,Username
92,92,2019-09-18 12:59:03+00:00,1174306840890339328,Bening kira kira crossfaith culinary kalo di sahkan Ruu KUHP ini kena pasal ng loo cok,qzae200
93,93,2019-09-18 12:53:11+00:00,1174305364994510849,Apa gapunya hati ya yg ngerancang ruu kuhp Kasian si cewe udah menderita malah d buat menderita,chiicku
94,94,2019-09-18 12:50:15+00:00,1174304629191917568,Buzzer RUU KUHP yg disahkan gimana tanggapannya,Mujamuju2
95,95,2019-09-18 12:49:45+00:00,1174304501953486848,HAKIM Hubungi Aku Kalau Ingin Menang KUHP Kasih Uang Habis Perkara,JA29_
96,96,2019-09-18 12:49:33+00:00,1174304452058046465,Kenapa RUU PKS Kenapa RUU PKS tidak dileburkan menjadi satu dalam RUU KUHP Apakah kekerasan seksual bagian dari pidana khusus sehingga harus dikeluarkan dari KUHP,wildanhavaza
97,97,2019-09-18 12:48:38+00:00,1174304219072847873,Mbak aturan yang berlaku sekarang memang seperti itu Di UU Kesehatan No 36 Tahun 2009 Pasa 75 2 disebutkan aborsi karena kasus perkosaan hanya dibolehkan untuk usia kandungan 6 minggu Bukan karena KUHP Baru,aewin86
98,98,2019-09-18 12:45:54+00:00,1174303533270614017,Tetapi intinya ane soroti bukan itu Ane soroti adlh hal salah kaprah bagi pemuja ji kl anggap Presiden itu Simbol Negara Presiden lbh pas dtempatkan sbg Kepala Negara yg dlm sistim demokrasi qt dpt dkritik yaa sbelum ntr KUHP baru sah gaes kwkwkwkw,aan_luna
99,99,2019-09-18 12:41:31+00:00,1174302428767768576,gak ada yang aman mbak kalok jodohku ternyata terpaksa menuruti KUHP kan sama aja ekwkwwk,tutuspambudi
100,100,2019-09-18 12:37:27+00:00,1174301407207280640,Cape nanti gue bisa bisa belajar dua KUHP Pasal 417 KUHP lama bahasnya kejahatan jabatan pasal 417 RKUHP bahasnya kejahatan perkelaminan,AESPAYlZHOU
101,101,2019-09-18 12:32:21+00:00,1174300123171418112,Perzinaan amp prostitusi emang ada di kuhp Ruu pks ini lebih buat melindungi hak korban kekerasan seksual Yang gue bingung kok ada pendapat kalo ruu ini justru mendorong seks bebas Dibilang menentang pancasila segala lah Kalo emang ada yg kurang ya direvisi bukan ditolak,hnnsha
102,102,2019-09-18 12:28:17+00:00,1174299098448445440,ID RUU KUHP di sahkan 6hari lagi jadi klo nyuruh kamu pindah agama sekarang gak bisa kena pasal Masih ada waktu 6 hari lagi Buat yg mau ngewe di muka umum juga masih ada kesempatan,i_satriad
103,103,2019-09-18 12:24:10+00:00,1174298065592733696,Dari dulu jg dihukum Gak mesti di ruu kuhp,mherzaabdrahman
104,104,2019-09-18 12:22:29+00:00,1174297639996669953,DPR dan Pemerintah Sepakat Revisi KUHP Segera Diparipurnakan Kesepakatan itu dia,KEZIAAM0UR
105,105,2019-09-18 12:14:44+00:00,1174295689330753536,Itu permisalan aja soal pubg ini rancangan revisi RUU KUHP Udh mulai di bahas jadi intinya walaupun ga di tinggal di daerah tsb kalo di daerah tsb ada larangan tertentu terus kita ngelanggar di daerah lain tetep kena pidana Dari yang gue tonton di YouTube,Moveooonnn
106,106,2019-09-18 12:13:46+00:00,1174295447608815619,Maksudnya itu segera sahkan RUU Penghapusan Kekerasan Seksual bukan malah RKUHP yang lebih kolonial dari KUHP lama peninggalan Belanda,Don_Marthino
107,107,2019-09-18 12:11:29+00:00,1174294872141914112,Ga ada buktinya Ga selalu ga ada bukti Cara pembuktiannya ngikut cara pembuktian kuhp lama Sebenernya di kuhp lama ada delik soal kekerasan seksual dengan cara memanipulasi cuma ga spesifik kayak dengan memanipulasi dengan cara janji dinikahi,bittercvp
