,Datetime,Tweet Id,Text,Username,Label,Lang
46,2023-04-06 22:52:17+00:00,1644110810531209216,"@panditfootball Buset dah ini orang, kebiasaan pejabat, dikit2 main lobi, biar urusannya lancar, ingat den Ganjar, ini FIFA, gak bisa sembarangan ngelobi, apalagi ngelobi dan ngatur2 bisa ngedepak tim yg lolos secara sah, mikir dah Lo den Ganjar",YareY4r3Daze,,
47,2023-04-06 22:48:44+00:00,1644109914304913408,@sidneicarneiro fifa,flaviofds,,
48,2023-04-06 22:48:17+00:00,1644109801264406528,@idextratime Emang sudah saatnya nongkrong dan nangkring di posisi satu rangking FIFA utk saat ini,YareY4r3Daze,,
49,2023-04-06 22:47:02+00:00,1644109488314515458,"@ch_chotimah2 @erickthohir @denni_sauya @seruanhl @terbucinz @MARV3Louis @Aryprasetyo85 @FirzaHusainID @03__nakula Padahal sdh diingatkan FIFA , stadion harus steril 6 bulan sebelum hari H, ehhh GBK dipakai utk acara relawan jokowi dan konser blackpink , dibatalin kan akhirnya huahaahaha....",Buyung_Isjoyo,,
50,2023-04-06 22:46:41+00:00,1644109397432606723,"@TeamCR7ID @idextratime Fans Ronaldo ini emang dongo dan goblok ya wkwk, apa kabar Belgia yg sempat posisi satu rangking FIFA padahal gak pernah juara piala dunia, rangking FIFA gak ada urusannya sama pildun, lebih ke banyak2 ambil point",YareY4r3Daze,,
51,2023-04-06 22:44:37+00:00,1644108881034104832,"@AltoLuger hmm sepertinya tercium bau bau mengkambing hitamkan disini, padahal kalau kita liat kembali dari statement resmi fifa terlepas lah dari yang apa yang diasumsikan karena pejabat2 tadi melarang timnas Israel masuk ke wilayah provinsi mereka, tampak jelas di statement ituu....",zahri_rezy,,
52,2023-04-06 22:44:08+00:00,1644108759290216449,@denssetiawan FIFA adalah konspirasi Eropa saja,riffai_twitt,,
53,2023-04-06 22:44:04+00:00,1644108741652930560,@ManagingBarca @FUTZONEFIFA barça returning to fifa https://t.co/0Ecyx25ky8,Sebitus03,,
54,2023-04-06 22:43:41+00:00,1644108642860277762,@SiaranBolaLive Sebenarnya serahkan aja FIFA atau UEFA ketangan orang timur tengah. Lihat Pildun di Qatar gak ada Rasis dan paling aman.,DediAlamsyahH,,
55,2023-04-06 22:43:16+00:00,1644108541358379010,@GeiszChalifah Dua institusi yg lagi nyebelin banget sekarang versi gw 👉 Bawaslu dan FIFA.,Yedi_ExTKI,,
56,2023-04-06 22:41:45+00:00,1644108156988198912,"@__AnakKolong Betapa hebatnya israel, kita harus belajar dari israel, bahwa bola (FIFA) mereka yang atur. Ganjar hanya salah pilih lawan",samuel_ramot,,
57,2023-04-06 22:40:27+00:00,1644107831178825730,@tvOneNews Lebih penting konstitusi kita UUD 45 dibandingkan FIFA 👉 uud 45 menolak keras segala bentuk penjajahan dimuka bumi.,Yedi_ExTKI,,
58,2023-04-06 22:40:24+00:00,1644107816331018241,@obito2020danzo @NgachoAmy @begelaaah @PSSI Kita GK tau ada main atau enggak dibalik kegagalan indo jadi host U20 tapi yg bikin gw agak penasaran ko bisa Argentina ngajuin yg jadi host padahal waktunya kan mepet banget cuman 1 bulanan tapi ko bisa??Why??Apa FIFA mundurin lagi waktunya atau apa emang Argentina udah dari,riz_rx19,,
59,2023-04-06 22:39:08+00:00,1644107497173819393,"@yourpatronum @Muhammad_MARG @idextratime Indonesia tetap kena sanksi FIFA levelnya kartu kuning berupa pembekuan dana FIFA forward, dicabutnya kapan itu terserah FIFA, FIFA nanti menilai bagaimana jalannya transformasi sepakbola di Indonesia berdasarkan Blue mapping yg dibawa pak et.",faridl_pratama,,
60,2023-04-06 22:37:39+00:00,1644107124665118720,"@obito2020danzo @PSSI Lu kira semua bakal diceritain secara gamblang ke publik? HAHAHAHA

Talkshow itu kebanyakan diadain sebelum ke FIFA.",ProfDaril,,
61,2023-04-06 22:35:59+00:00,1644106706279092224,"@__AnakKolong Sikap ygdiambil pak ganjar sudah amat benar,,, israel emg biadab.... Semoga FIFA melek matanya utk mendiskualifikasi timnas israel",agus_setya,,
62,2023-04-06 22:34:45+00:00,1644106397045633024,"@erickthohir @jokowi “Dosa”nya sebesar apa sih sampai harus bernegosiasi dgn FIFA yg hasilnya HANYA diberi sanksi xxxxxxx?
Kenapa Joko ngga berani buka ke publik, takut bobroknya ketahuan ya? 🤪",AriskaPutraS,,
63,2023-04-06 22:34:40+00:00,1644106375252033537,"@__AnakKolong Hanya orang tolol yg menganggap pildun junior batal krn boikot israhell ,, tragedi kanjuruhan adalah penyebabnya ,, sila baca statement fifa",buronandencus,,
64,2023-04-06 22:32:58+00:00,1644105948494204928,@Haihuda @idextratime Fifa mah gampang gan asal ada duit wkwkwk. Sedangkan ET gamau keluar kali wkwk,acelovedonut,,
65,2023-04-06 22:32:44+00:00,1644105890625376258,"@ch_chotimah2 @erickthohir Dasar hdup lu tnpa hti nrani, ksus knjuruhan lu diam bae gliran fifa ngsih krtu kuning lu brsyukur, mnusia stgh jdi lu cenul 😤🤔",kurusetra91,,
66,2023-04-06 22:30:51+00:00,1644105414223745024,"@idextratime Padahal berharap langsung disanksi keras, biar pada sadar dan mau berbenah, tapi kalau ringan, ya bakalan gak mau sadar, gitu2 aja, tapi walau begitu salut sama pak Erick Thohir yg berhasil ngelobi FIFA, ETI masterclass",YareY4r3Daze,,
67,2023-04-06 22:29:08+00:00,1644104982822789120,@UpdateBolabola Keluar aja dari fifa kayak jaman sukarno dan buat federasi sendiri,hardyanhr,,
68,2023-04-06 22:27:05+00:00,1644104466143014912,@Menino_Neymar_ @centralneybr fifa,imnotmauro,,
69,2023-04-06 22:25:13+00:00,1644103996725153792,"@FaktaSepakbola Yah emang kemauan fifa dari lama itumah, makanya begitu indo gasiap langsung sat set dapet tuan rumah",madityarf,,
70,2023-04-06 22:24:17+00:00,1644103763601547265,@faridl_pratama @Muhammad_MARG @idextratime kak maaf mau nanya. jadi kesimpulannya ini fifa bakalan tetep di indonesia dan cuma dapet kartu kuning? atau gimana? maaf aku baca2 pun masih bingung 😭🙏🏻,yourpatronum,,
71,2023-04-06 22:23:56+00:00,1644103674602606592,"@ArifNasfi05 @EdiManik11 @FahmiAgustian @PSSI @erickthohir Hahaha Lo aja yg terlalu polos bro. Dunia tidak sepolos itu ya, pejabat gak kaya raya dari gajinya bro, dinegara manapun sekalipun FIFA. SELEVEL saya yg pegawai swasta aja kadang ngarep uang rokok, uang bensin, uang kopi hahahaha budaya bro, nonton tv series Ozark biar gak polos",BlueTent_id,,
72,2023-04-06 22:23:12+00:00,1644103488161611776,@idextratime FIFA / PSSI kan ga boleh di intervensi oleh pemerintah jd hayoh pak pilih jd ketua PSSI aja.. Sy dukung yg satunya serahkan kpd yg lbh bnyk waktu biar semua nya baik dan benar,hard0740,,
73,2023-04-06 22:22:47+00:00,1644103386177077249,"@cintaindoku @__AnakKolong Gue liat dari sudut pandang konstitusi dan ketegasan pemimpin dlm bersikap,kl lu punya pandangan lain itu terserah lu,ini negara demokrasi,
aplg mnrt pndngan presiden dan pemerintah,toh keputusan Fifa bkn mengacu ke penolakan GP",Dongkol_lurah,,
74,2023-04-06 22:22:44+00:00,1644103373833240576,"@obito2020danzo @PSSI Kata siapa? Kata FIFA nya sendiri lah, di statmentnya jelas kok ada tulisan ""ancaman sanksi"".",ProfDaril,,
75,2023-04-06 22:22:27+00:00,1644103302437826560,"@nusantara_one Mau apapun aturanyya, makanya jangan ikut FIFA, baiknya keluar FIFA, main sepakbola level ASEAN saja.

Ga usah macam2.....",kuasabu2,,
76,2023-04-06 22:20:32+00:00,1644102818167664640,"@FaktaSepakbola Seharusnya INNALILLAHI.

Indon butuh hukuman super berat agar tau rasanya membunuh 135 orang.

Tapi apa yg lu harap dari FIFA yv juga sarang korup.",Jun__Dev,,
77,2023-04-06 22:18:16+00:00,1644102246672769025,"@sambudi_99 @idextratime ""Piala Dunia U-20 itu tidak masuk penghitungan poin untuk Rangking FIFA, wahai si paling tau sepakbola""

Nah, ini baru serius",anggaimaginer,,
78,2023-04-06 22:18:00+00:00,1644102180868329472,@KompasTV Bukan masalab termuda atau tua tapi becus apa kagak.Banyak kabinet yg ga becus.Ngurus fifa ae ga becus,Sahesty1,,
79,2023-04-06 22:17:47+00:00,1644102124928929792,@AbasAlong @UpdateBolabola Yg jadi adanya korban tu siapa? Yg bunuh bunuhan antar supporter aja gada sanksi apa apa dari FIFA. Lah ini keamanan.  Ya gabakal ada sanksi. Cmn hukuman administrasi itu udah porsinya. Kecuali orang FIFA ngehitung semua kasus yg di indo dijadiin satu baru banned. Lh ini gk.,n_llvr,,
80,2023-04-06 22:17:32+00:00,1644102063637377025,@Villafan231 @AVFCOfficial @leonbailey Fifa merchant,mikef4600,,
81,2023-04-06 22:16:32+00:00,1644101813719928832,"@UpdateBolabola Gk masalah, kan itu gunanya punya ketum yg rangkap jd menteri BUMN, dana FIFA mah segede upil kllo dibandingkan CSR top 10 BUMN besar di Indonesia....",ArifNasfi05,,
82,2023-04-06 22:15:36+00:00,1644101577102204931,@berziBlade @Destriiix @Marcus_derDachs Fifa 🫵,Pumpscare,,
83,2023-04-06 22:15:31+00:00,1644101553798758405,@bateson87 fifa,fnbrJayy,,
84,2023-04-06 22:14:14+00:00,1644101232624287744,"@MCAOps Lagian ngapain ngarep banget sama FIFa, piala dunia kek, kan banyak pertandingan lain yang bisa kita nikmati, ASEAN, piala Asia, atau kalau mau bikin world Cup tandingan ajah.",bang_boak,,
85,2023-04-06 22:14:07+00:00,1644101202874101761,"@IndiHomeCare Tolong @IndiHomeCare @IndiHome entah kenapa gabisa akses EA server fifa 23, already complaint to @EASPORTSFIFA still no answer https://t.co/QD9GFr9Ho5",Yakinik83175556,,
86,2023-04-06 22:13:37+00:00,1644101077409894400,"@SiaranBolaLive @panditfootball ya jelas, wong sanksi gak bisa sedia in fifa stadion standart fifa, ya jelas administratif saja.",maxibarnabas,,
87,2023-04-06 22:12:22+00:00,1644100762702843904,"@politikana @FahmiAgustian Sebagai menteri, ia menerima mandat dari presiden (atasannya).

Kenapa ET yang diutus? Karena presiden melihat ET sebagai kawan presiden FIFA &amp; ET adalah anggota komitr olimpiade internasional.

Jadi konteksnya adalah lobi, bukan birokrasi saklek sebagai mandataris.",Stakof,,
88,2023-04-06 22:09:38+00:00,1644100074245431296,@Menino_Neymar_ @centralneybr fifa&gt;&gt;&gt;&gt;,1Frxn_,,
89,2023-04-06 22:09:17+00:00,1644099986383314945,"@adkrmj @ask_AXIS @Muhamma72477233 Skrg fungsinya bot ini seperti pengalihan isu atau mainan para netijen pro pemerintah, biar ga ramai reply dan trending komenan, bisa di cek di replyan Tweet Ganjar ketika piala dunia u20 resmi dibatalkan oleh FIFA.",PrutangMijone,,
90,2023-04-06 22:09:16+00:00,1644099982365171712,"@qileonx Setelah baca2 soal statement jokowi, beliau sudah klarifikasi bahwa israel diperbolehkan hadir tanpa ada intention politik apapun. Bahkan beliau menekankan bahwa sudah terbit perpres yang mengatur khusus tentang fifa world cup u-20. Demokratis bleh, tpi tetap sesuai aturan dong?",RafliFirta,,
91,2023-04-06 22:07:18+00:00,1644099488045477888,@idextratime jangka waktu pembekuan dana fifa nya min?,mas_nab,,
92,2023-04-06 22:05:31+00:00,1644099041213689856,@idextratime Fifa mana fifa njingg . Rusia belum setahun invasi ukraina aja kena banned ini israel udah puluhan tahun masih aman2 aja. Fifa anjing budak yahudi,_alfaruqq,,
93,2023-04-06 22:05:21+00:00,1644098997265764353,@esaperkasanov @Ant45669053Anto @Dazzzzzaii @idextratime Ya mau gimana lagi.. sepak bola negara lain masih bergantung sama FIFA.. kalo mau protes ntar nasibnya malah sama kya indo,66_Tarnold,,
94,2023-04-06 22:04:42+00:00,1644098833796988929,"@Philosoccer2 @Box2BoxBola @firzieidris Kayak gak tau aja FIFA ini pemeras cuk. Mau urusan lancar? Bawa sekoper Dollar solusinya. 
Pejabat FIFA korup semua, gak mungkin urusan bisa lancar tanpa Dollar, negara juga ringkas, belom
Uang jajannya Erik, uang bensin, uang kopi, uang kecantikan sekretaris nya, lobi=bangkrut",BlueTent_id,,
95,2023-04-06 22:04:07+00:00,1644098686446608384,@AnkaraWessi @433 FIFA,LethaboMotukisi,,
96,2023-04-06 22:02:20+00:00,1644098236922347520,"@UpdateBolabola Jgn takut,.. biarin aja gak dpt dana apapun2 dr fifa, krn INDONESIA ini negara yg kaya .
Uang negara kita ini Ribuan trilyun ( dalam bentuk hutang )
😅😅",save_i2012,,
97,2023-04-06 22:01:16+00:00,1644097968222654465,"@FaktaSepakbola Termasuk ringan sih. Tp event apapun di FIFA. Kayaknya kita ga usah mengajukan apapun. Ga usah bidding lagi, karna nama kita udah tercoreng 😪
Yg sekarang jadi fokus PSSI, semoga kita tidak dikucilkan didunia sepakbola.",KharizaWahyu,,
98,2023-04-06 22:01:14+00:00,1644097959569809410,"@geloraco bentuk fifa perjuangan ! tinju aja ada banyak federasi masa fifa cuman satu, gak seru",yadisupriyadi,,
99,2023-04-06 22:00:39+00:00,1644097812727205888,"@obito2020danzo @PSSI 🤣🤣 jgn biasakan kebiasaan kita trhdap org lain, malah kita yg ngatur2 fifa. Aplgi masalah israel, dunia barat itu plg anti dg diskriminasi, aplgi ini terhdap israel. Dr awal udh dibuat perjanjian eh kitanya yg melanggar.",kakilangitimur,,
100,2023-04-06 22:00:34+00:00,1644097793269850112,@ch_chotimah2 @erickthohir Ya masa gabisa lobby fifa sich sekelas elite global?,AlexMaksymilian,,
101,2023-04-06 22:00:02+00:00,1644097659572211712,@idextratime Bisa lobi fifa tapi tersangkanya tetep angin,azmiadam12,,
102,2023-04-06 21:59:44+00:00,1644097585156886531,"@txtdrimedia Pake bhs inggr1s bu, biar didenger sama orang fifa wkwkk",safeyourday,,
103,2023-04-06 21:59:15+00:00,1644097461349396480,"@EdiManik11 @FahmiAgustian @PSSI @erickthohir Mungkin Erik bawa Roti Ja Co plus sekoper Dollar ke FIFA nya jadi puluh kali ya.
Tetep posthink sekoper Dollar duitnya sendiri.
Tapi Erik tetaplah manusia mungkin butuh uang capek 10M, uang bensin 5M, uang jajan 7M, 
Uang kecantikan sekretaris nya 1M. Dan itu semua uang pribadi:D",BlueTent_id,,
104,2023-04-06 21:58:19+00:00,1644097227714088960,@MataNajwa Fifa sadar urusan Indonesia tidak mudah. Pemerintah bebas intervensi asosiasi.,idmilanplus,,
105,2023-04-06 21:58:18+00:00,1644097222513147904,@Box2BoxBola @firzieidris Apakah ada hubungannya jg dgn ancaman liga arab yg akan boikot fifa jika indonesia dibanned?,arifagungk,,
106,2023-04-06 21:57:48+00:00,1644097095589310464,@Stakof @FahmiAgustian Menteri BUMN apanya federasi dalam statuta FIFA?,politikana,,
107,2023-04-06 21:57:41+00:00,1644097069588811776,"@wongkecemek @idextratime Itu kan teorinya. Faktanya Indonesia pernah dibanned fifa 2015 gara2 ada intervensi pemerintah. makanya ini kita ga mau lagi ky gitu. kasusnya sama, ada intervensi pemerintah.

kalau sumbangsih kita besar dalam hal apapun, kita udah jadi full negara maju, bukan negara berkembang",leedongguk1970,,
108,2023-04-06 21:54:59+00:00,1644096387402051584,"@AAldhiaz @PSSI @erickthohir Usaha apaan .?..otak lu buat mikir kalo situ punya otak .. pssi gak di banned fifa itu juga dah untung ..,kegagalan jadi tuan rumah bukan kesalahan pssi..",MrSimpl92795338,,
109,2023-04-06 21:54:19+00:00,1644096218862338049,@ch_chotimah2 @erickthohir Sea Games gak ada urusannya sama FIFA,MashudiRbg,,
110,2023-04-06 21:53:13+00:00,1644095943002947585,"@HhsamR_ @Indostransfer Denda formalitas 20M, plus
Uang kopi buat pejabat FIFA 100M
Duit jajan Erick Thohir kemungkinan 50M
Duit kecantikan sekretaris nya Erik 5M
Duit bensin Erik 70M
Uang capek Erik 90M
Kira-kira segitu lah berdasarkan ilmu politik kebangsaan dan budaya bangsa Indonesia",BlueTent_id,,
111,2023-04-06 21:53:12+00:00,1644095939433357312,@Menino_Neymar_ FIFA&gt;&gt;&gt;&gt;&gt;,ymrtzs,,
112,2023-04-06 21:53:11+00:00,1644095933729193985,@InvictosSomos Fifa 24,donbe7o,,
113,2023-04-06 21:53:04+00:00,1644095907355320326,@cfc_dfb Fifa 16?,P_D_R__16,,
114,2023-04-06 21:52:03+00:00,1644095652169916417,@TommyArd_ @idextratime Karena FIFA bukan punya NENEK lu!!,ArifNasfi05,,
115,2023-04-06 21:51:35+00:00,1644095532984352774,@la3ebcom Fifa 23,AbdelatifTihan,,
116,2023-04-06 21:49:58+00:00,1644095125617012737,"@Imamalfa10 @MafiaWasit Pembekuan dana dari FIFA utk P$$i, contoh:
https://t.co/st7zFyETW0",raretiopoopo,,
