No,Datetime,Tweet Id,Text,Username
47,2022-12-04 03:18:15+00:00,1599241644947439616,"@sosmedkeras Mereka pasti setuju dengan ruu kuhp
Saya pribadi yg mahasiswa ilmu hukum dan tumbuh di lingkungan kampung banyak pesantren, kemudian pernah merantau &amp; merasakan hiruk pikuk kota besar, dari narkoba, miras, prostitusi, perjudian, dan segala bentuk kriminalitas beranggapan bahwa",gasspontan
48,2022-12-04 03:15:13+00:00,1599240882892701696,"@sosmedkeras Mahasiswa yg demo tentang RUU kuhp kebanyakan bukan mahasiswa hukum, dia terprovokasi oleh beberapa redaksi yg menang agak kurang baik di beberapa pasal, tapi kalo mahasiswa hukum yg sudah membaca ruu kuhp kemudian dibandingkan dengan kuhp sekarang yg notabene peninggalan belanda",gasspontan
49,2022-12-04 02:04:31+00:00,1599223091745652736,"@sosmedkeras Indonesia negara yang mempunyai norma kesopanan dan kesusilaan. Sudah terlalu lama dijajah Belanda sehingga KUHP pun tinggalan Belanda yg tidak mampu merevisi.
Hingga ketika ada niatan merevisi agar sesuai dgn budaya sendiri, malah rakyatnya tidak setuju karena dah terlalu lama",IndraJatmiko8
50,2022-12-04 01:59:53+00:00,1599221924605079552,"@bachrum_achmadi menurut gw , kerja jokowi udah bagus bang , tapi buat partainya BIG NO dari gw , apalagi sampe tu partai kepilih lagi 2024 ga kepikiran gw , kalian tau kan Ruu KUHP terbaru , omnibus atau uu ciptaker ? parah banget",Remiarza
51,2022-12-04 01:45:43+00:00,1599218361044697088,"@paradoks__404 @ordinarypeo_0pl @wfebriiansyh @sosmedkeras tp pembuktian untuk kasus perzinahan sulit sih, dan emg perlu ada aturan baru soalnya perzinahan di kuhp itu sempit bgt krn emg aturan jaman belanda",noonanyajisung
52,2022-12-03 23:49:18+00:00,1599189061746712577,"@heyoChaCha Di KUHP ada 2 jenis pidana penjara:
- Selama wkt tertentu (max 20th)
- Seumur hidup (sampai meninggal)

Hukuman mati = eksekusi mati.
Indonesia pake regu tembak.

Istilah ""hukuman mati"" SELALU merujuk ke eksekusi mati.

Coba disave yaa infografis ini ⬇️ dari @KejaksaanRI https://t.co/stBbAOp0ao",dissa_dissa
53,2022-12-03 23:41:28+00:00,1599187088737697792,"@collegemenfess Papanya advokat kok salah kaprah gitu? 🤔

Di KUHP ada 2 jenis pidana penjara:
- Selama wkt tertentu (max 20th)
- Seumur hidup (sampai meninggal)

Penjara sesuai umur = MITOS/SALAH KAPRAH (gak ada di KUHP)

Please disave infografis dr @KejaksaanRI &amp; Komisi Yudisial RI ini pls ⬇️ https://t.co/rCSVtAcDkG",dissa_dissa
54,2022-12-03 23:38:39+00:00,1599186380114255872,"@tacojad @collegemenfess Di KUHP ada 2 jenis pidana penjara:
- Selama wkt tertentu (max 20th)
- Seumur hidup (sampai meninggal)

Kalo uda vonis seumur hidup ya gak ada batasan waktu/tahun, gak terikat sm aturan yg max 20th, krn itu jenis pidana yg berbeda.

Nih dijelasin @KejaksaanRI ⬇️ https://t.co/1ez84NO31T",dissa_dissa
55,2022-12-03 23:37:23+00:00,1599186060881596419,@RatunyaTagar Tenang... KUHP msh ada,PendozaTobat
56,2022-12-03 22:42:07+00:00,1599172153244798976,@sosmedkeras Di KUHP lama yg diatur ttg perzinaan dalam arti perselingkuhan yg berhak lapor pasangan nikahnya karena dia yg dirugikan kalau di KUHP baru semua perzinaan bisa dilaporkan..utk orang dewasa sama2 single siapa yg dirugikan?,memeperot
57,2022-12-03 21:53:15+00:00,1599159855516127233,"@sbyfess Orang² kayak gini harus dimatikan.

@DivHumas_Polri @DPR_RI @mprgoid @KomnasHAM 

Pasal 49 KUHP harus direvisi, terlalu lemah, masih mengasihani pelaku begal.",apeep__
58,2022-12-03 21:32:17+00:00,1599154579815673856,"@lapiskukuskeju @sosmedkeras Kan itu namanya delik aduan, selagi dia ga ngadu yaaa no problem (sepemahamanku ya)
Nah, adanya pasal ini pun berguna agar si korban dapet kepastian hukum yang jelas, apalagi udah masuk KUHP. Pastinya si pelaku dapet sanksi atas tindak pidana yg dia lakukan",Bolehhh_
59,2022-12-03 20:47:28+00:00,1599143301462257665,@mbuntt @AhmedAdin03 @convomfs Tampol aja mba pake kuhp,FightForMaWay
60,2022-12-03 17:54:18+00:00,1599099724954767363,"@collegemenfess Haduuu, perasaan dulu udah ada yang bahas kenapa aku greget sekali sama yang kekeh seumur hidup = seuai umur.

Penjara seumur hidup = sampai mokad, mati, meninggal. Oke?
Hukuman mati = ya dibunuh, ada algojonya. Ditembak.
Penjara biasa = max 20 tahun sesuai kuhp.",abilfera
61,2022-12-03 16:19:53+00:00,1599075960888102912,@DeeyaaS_ @applehighball Wkwkw sekalian RUU KuHP 😅🤣🤣,dumcekces
62,2022-12-03 15:17:02+00:00,1599060144712986625,"@alisyarief Di Islam pun udah di ajari...itu bagi yg ngerti...jadi draf akhir KUHP itu senafas dng ajaran agama...
Anak hebat tergantung didikan orang tuanya.. https://t.co/vWkbh0Omos",BandyBudiharto
63,2022-12-03 15:06:23+00:00,1599057464405921793,"@tacojad @collegemenfess salah, Pasal 12 KUHP https://t.co/iuVsgjItDl",raihanaulia_rar
64,2022-12-03 14:58:40+00:00,1599055524636798977,"@jandakembang78 @Nebulaens @tanyarlfes di sebelah mana saya menuduh? memang bahas hukum itu juga bicara soal fakta data tapi perlu dimasukkan juga kemungkinan2 apa saja yg bisa terjadi dalam kejadian tsb. yg anda bahas juga masih termasuk kemungkinan juga.

saya tegasin saya hanya mengoreksi bagian KUHP saja",rachelladine
65,2022-12-03 14:46:58+00:00,1599052579404943362,"@PedasDipandang @antikeruttt @zzshfsdlnglnchr @utdfocusid Kalau lu sih jelas jelas ngancam mau nyari gua, kalau udah ketemu gua mau dikulitin hidup-hidup, hiii ngweriii (masuk ke pasal pengancaman, pasal 368 dan 369 KUHP).",iamkalong
66,2022-12-03 14:30:34+00:00,1599048451391913984,"@jandakembang78 @Nebulaens @tanyarlfes gak berandai kok, saya cuma mengoreksi bagian anda bilang kalau pelanggaran seperti itu tidak ada di KUHP. saya sendiri juga belum melihat video fullnya",rachelladine
67,2022-12-03 13:27:10+00:00,1599032496758616066,"@ZoelHayat Revisi sesuai kepentingan pribadi dan kroni. Bentar lagi revisi KUHP Pasal 340 nyusul, nyelamatin Sambolado...

https://t.co/Qft31D0oGg",illness_dd3
68,2022-12-03 13:22:43+00:00,1599031377684746241,"@AJIBdg Tolak RUU KUHP dan Masyarakat adat Minta Merdeka, Negara tidak punya sejarah Tanah adat di Wilayah Masyarakat adat ✊",OBintangku
69,2022-12-03 13:17:09+00:00,1599029976040292358,"@satriajendral Sayang ku kekamu itu uda kaya pasal 184 ayat (2) KUHP
Hal yang secara umum diketahui dan tidak perlu dibuktikan",millky_jeon
